type;post_title;code;sku;parent;post_content;regular_price;sale_price;weight;length;width;height;images;categories;tags;color_codes;attribute 1 name;attribute 1 value(s);attribute 1 global;attribute 2 name;attribute 2 value(s);attribute 2 global;attribute 3 name;attribute 3 value(s);attribute 3 global;attribute 4 name;attribute 4 value(s);attribute 4 global;attribute 5 name;attribute 5 value(s);attribute 5 global
variable;Prodir DS2PMM Matt;DS2PMM;prodir-ds2pmm-matt;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PMM-M02.jpg;Schrijfwaren;pennen;M02, M75;Kleuren;White matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PMS Matt with Satin Metal Nose-Cone;DS2PMS;prodir-ds2pms-matt-with-satin-metal-nose-cone;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PMS-M02.jpg;Schrijfwaren;pennen;M02, M75;Kleuren;White matt,Black matt;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PPP Polished;DS2PPP;prodir-ds2ppp-polished;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PPP-P02.jpg;Schrijfwaren;pennen;P02, P20, P41, P52, P58, P75;Kleuren;White polished,Red polished,Lime Green polished,Blue polished,Cyan Blue polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PPC Polished with Chrome Metal Nose-Cone;DS2PPC;prodir-ds2ppc-polished-with-chrome-metal-nose-cone;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PPC-P02.jpg;Schrijfwaren;pennen;P02, P20, P41, P52, P58, P75;Kleuren;White polished,Red polished,Lime Green polished,Blue polished,Cyan Blue polished,Black polished;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PTT Transparent;DS2PTT;prodir-ds2ptt-transparent;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PTT-T01.jpg;Schrijfwaren;pennen;T01, T20, T50, T76;Kleuren;Clear transparant,Red transparant,Classic Blue transparant,Fume transparant;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS2PTC Transparent with Chrome Metal Nose-Cone;DS2PTC;prodir-ds2ptc-transparent-with-chrome-metal-nose-cone;;De langgerekte drukknop volgt zijn eigen lijn. Zoals altijd bij Prodir zijn de onderdelen ontworpen voor maximale sterkte. Dit zorgt voor een reeks schitterende kleuren en aangename zwaarte in de hand. Extra maatwerk is mogelijk dankzij de gekleurde steek van de dop.;;;11.5;14.88;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS2PTC-T01.jpg;Schrijfwaren;pennen;T01, T20, T50, T76;Kleuren;Clear transparant,Red transparant,Classic Blue transparant,Fume transparant;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.15;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TAA Varnished Polished;DS3TAA;prodir-ds3taa-varnished-polished;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TAA-A70.jpg;Schrijfwaren;pennen;A70;Kleuren;Silver;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TAC Varnished Polished with Chrome Metal Nose-Cone;DS3TAC;prodir-ds3tac-varnished-polished-with-chrome-metal-nose-cone;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TAC-A70.jpg;Schrijfwaren;pennen;A70;Kleuren;Silver;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TFF Frosted;DS3TFF;prodir-ds3tff-frosted;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TFF-F01.jpg;Schrijfwaren;pennen;F01, F06, F10, F20, F25, F30, F35, F40, F42, F50, F55, F75;Kleuren;Clear frosted,Yellow frosted,Orange frosted,Red frosted,Pink frosted,Purple frosted,Aqua frosted,Light Green frosted,Dark Green frosted,Classic Blue frosted,Sky Blue frosted,Anthracite frosted;1;Merken;Prodir;1;Materiaal;Kunststof;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
variable;Prodir DS3TFS Frosted with Satin Metal Nose-Cone;DS3TFS;prodir-ds3tfs-frosted-with-satin-metal-nose-cone;;Hij valt op vanwege zijn kwaliteit, niet omdat hij opvallend is. Het icoon onder de promotionele schrijfwaren. Het origineel, tijdloos en onmiskenbaar.;;;10.2;13.77;;;http://www.gifts4u.be/wp-content/uploads/2023/01/DS3TFS-F01.jpg;Schrijfwaren;pennen;F01, F06, F10, F20, F25, F30, F35, F40, F42, F50, F55, F75;Kleuren;Clear frosted,Yellow frosted,Orange frosted,Red frosted,Pink frosted,Purple frosted,Aqua frosted,Light Green frosted,Dark Green frosted,Classic Blue frosted,Sky Blue frosted,Anthracite frosted;1;Merken;Prodir;1;Materiaal;Kunststof|Metaal;1;Diameter;1.02;1;Inktkleur;Blauw,Zwart;1
